normalized_key,sys_ids,variants
or108013.15,990032424200205171|990052435980205171,Or.1080 13.15
or108013.16,990032424690205171|990052435990205171,Or.1080 13.16
or108013.17,990032424890205171|990052436000205171,Or.1080 13.17
or108013.18,990032424970205171|990052436010205171,Or.1080 13.18
or108013.19,990032426230205171|990052436020205171,Or.1080 13.19
or108013.20,990032426370205171|990052436030205171,Or.1080 13.20
or108013.22,990032430850205171|990052436050205171,Or.1080 13.22
or108013.23,990032431110205171|990051112550205171,Or.1080 13.23
or108013.25,990032411620205171|990052436070205171,Or.1080 13.25
or108013.26,990032432470205171|990052436080205171,Or.1080 13.26
or108013.27,990032432630205171|990052436090205171,Or.1080 13.27
or108013.28,990032433220205171|990052436100205171,Or.1080 13.28
or108013.29,990032433570205171|990051112560205171,Or.1080 13.29
or108013.3.1,990032412570205171|990051112490205171,Or.1080 13.3.1
or108013.3.2,990032412800205171|990051112500205171,Or.1080 13.3.2
or108013.3.3,990032413150205171|990051112510205171,Or.1080 13.3.3
or108013.3.4,990032413260205171|990051112520205171,Or.1080 13.3.4
or108013.3.5,990032413760205171|990051112530205171,Or.1080 13.3.5
or108013.3.6,990032415530205171|990051112540205171,Or.1080 13.3.6
or108013.30,990032438590205171|990052436110205171,Or.1080 13.30
or108013.31,990032438770205171|990052436120205171,Or.1080 13.31
or108013.32,990032439130205171|990052436130205171,Or.1080 13.32
or108013.33,990032440150205171|990052436140205171,Or.1080 13.33
or108013.34,990032440170205171|990052436150205171,Or.1080 13.34
or108013.35,990032440190205171|990052436160205171,Or.1080 13.35
or108013.36,990032440940205171|990052436170205171,Ms. Or. 1080 13.36|Or.1080 13.36
or108013.37,990032441530205171|990052436180205171,Or.1080 13.37
or108013.38,990032445180205171|990051112570205171,Or.1080 13.38
or108013.39,990032451010205171|990051112580205171,Or.1080 13.39
or108013.40,990032451010205171|990051112590205171,Or.1080 13.40
or108013.41,990029259430205171|990051112600205171,Or.1080 13.41
or108013.45,990032411630205171|990051112610205171,Or.1080 13.45
or108013.46,990029259430205171|990051112620205171,Or.1080 13.46
or108013.48,990032451010205171|990051112630205171,Or.1080 13.48
or108013.49,990036765150205171|990052436230205171,Or.1080 13.49
or108013.50,990036767810205171|990052436240205171,Or.1080 13.50
or108013.51,990036768050205171|990052436250205171,Or.1080 13.51
or108013.52,990036768450205171|990052436260205171,Or.1080 13.52
or108013.55,990038365160205171|990051112640205171,Or.1080 13.55
or108013.69,990001403630205171|990052436420205171,Or.1080 13.69
or108015.23,990034835740205171|990052437320205171,Or.1080 15.23
or108015.24,990034836320205171|990052437330205171,Or.1080 15.24
or108015.25,990034837020205171|990052437340205171,Or.1080 15.25
or108015.3,990034799980205171|990052437130205171,Or.1080 15.3
or108015.30,990001403660205171|990051112720205171,Or.1080 15.30
or108015.31,990001403670205171|990051112730205171,Or.1080 15.31
or108015.32,990001403690205171|990051112740205171,Or.1080 15.32
or108015.33,990001403700205171|990052437380205171,Or.1080 15.33
or108015.34,990001403710205171|990052437390205171,Or.1080 15.34
or108015.41,990001403720205171|990051112750205171,Or.1080 15.41
or108015.43,990001403730205171|990052437470205171,Or.1080 15.43
or108015.5,990034800920205171|990052437150205171,Or.1080 15.5
or108015.52,990001403740205171|990052437550205171,Or.1080 15.52
or108015.57,990001403750205171|990051112770205171,Or.1080 15.57
or108015.58,990028768440205171|990051112780205171,Or.1080 15.58
or108015.6,990034801880205171|990052437160205171,Or.1080 15.6
or108015.7,990034801990205171|990052437170205171,Or.1080 15.7
or108015.8,990034817280205171|990051112700205171,Or.1080 15.8
or108015.9,990034819110205171|990052437180205171,Or.1080 15.9
or10802.1,990025773580205171|990052431770205171,Or.1080 2.1
or10802.10,990038627580205171|990051111940205171,Or.1080 2.10
or10802.11,990038627660205171|990052431820205171,Or.1080 2.11
or10802.12,990038628460205171|990052431830205171,Or.1080 2.12
or10802.13,990038630790205171|990052431840205171,Or.1080 2.13
or10802.14,990038632910205171|990051111950205171,Or.1080 2.14
or10802.16,990038638170205171|990051111960205171,Or.1080 2.16
or10802.17,990038638590205171|990052431860205171,Or.1080 2.17
or10802.18,990025779150205171|990052431870205171,Or.1080 2.18
or10802.19,990025817300205171|990052431880205171,Or.1080 2.19
or10802.2,990025775520205171|990051111900205171,Or.1080 2.2
or10802.21,990025779510205171|990051111970205171,Or.1080 2.21
or10802.22,990025784470205171|990051111980205171,Or.1080 2.22
or10802.25,990001403300205171|990052431920205171,Or.1080 2.25
or10802.26,990038638630205171|990052431930205171,Or.1080 2.26
or10802.27,990025786280205171|990051111990205171,Or.1080 2.27
or10802.3,990038625130205171|990052431780205171,Or.1080 2.3
or10802.30,990052438300205171|990052431960205171,Ms. Or. 1080 2.30|Or.1080 2.30
or10802.33,990052437780205171|990052431980205171,Ms. Or. 1080 2.33|Or.1080 2.33
or10802.34,990052438700205171|990052431990205171,Ms. Or. 1080 2.34|Or.1080 2.34
or10802.39,990052438470205171|990052432040205171,Ms. Or. 1080 2.39|Or.1080 2.39
or10802.4,990038625300205171|990051111910205171,Or.1080 2.4
or10802.40,990052439020205171|990052432050205171,Ms. Or. 1080 2.40|Or.1080 2.40
or10802.5,990038625720205171|990051111920205171,Or.1080 2.5
or10802.6,990038626410205171|990051111930205171,Or.1080 2.6
or10802.7,990038626540205171|990052431790205171,Or.1080 2.7
or10802.79,990052433450205171|990052432340205171,Ms. Or. 1080 2.79|Or.1080 2.79
or10802.80,990025816540205171|990052432350205171,Or.1080 2.80
or10802.81,990038646150205171|990052432360205171,Or.1080 2.81
or10802.82,990025816860205171|990052432370205171,Or.1080 2.82
or10802.9,990038627160205171|990052431810205171,Or.1080 2.9
or10803.2,990025817750205171|990052432390205171,Or.1080 3.2
or10803.8,990052439010205171|990052432440205171,Ms. Or. 1080 3.8|Or.1080 3.8
or10804.62,990052439160205171|990052433390205171,Ms. Or. 1080 4.62|Or.1080 4.62
or10804.63,990052439170205171|990052433400205171,Ms. Or. 1080 4.63|Or.1080 4.63
or10804.64,990052439180205171|990052433410205171,Ms. Or. 1080 4.64|Or.1080 4.64
or10805.12,990052439300205171|990052433550205171,Ms. Or. 1080 5.12|Or.1080 5.12
or10807.20,990052439030205171|990052434080205171,Ms. Or. 1080 7.20|Or.1080 7.20
or10807.21,990052439040205171|990052434090205171,Ms. Or. 1080 7.21|Or.1080 7.21
or10808.10,990052438160205171|990052434190205171,Ms. Or. 1080 8.10|Or.1080 8.10
or10808.11,990052438170205171|990052434200205171,Ms. Or. 1080 8.11|Or.1080 8.11
or10808.12,990052438180205171|990052434210205171,Ms. Or. 1080 8.12|Or.1080 8.12
or10808.13,990052438190205171|990052434220205171,Ms. Or. 1080 8.13|Or.1080 8.13
or10808.14,990052438200205171|990052434230205171,Ms. Or. 1080 8.14|Or.1080 8.14
or10808.15,990052438210205171|990052434240205171,Ms. Or. 1080 8.15|Or.1080 8.15
or10808.16,990052438220205171|990052434250205171,Ms. Or. 1080 8.16|Or.1080 8.16
or10808.17,990052438230205171|990052434260205171,Ms. Or. 1080 8.17|Or.1080 8.17
or10808.4,990052438030205171|990052434130205171,Ms. Or. 1080 8.4|Or.1080 8.4
or10808.7,990052438140205171|990052434160205171,Ms. Or. 1080 8.7|Or.1080 8.7
or10808.8,990052439060205171|990052434170205171,Ms. Or. 1080 8.8|Or.1080 8.8
or10809.18,990052439290205171|990052434430205171,Ms. Or. 1080 9.18|Or.1080 9.18
or1080a1.10,990052435530205171|990052437870205171,Or.1080 A1.10
or1080a1.18,990052435820205171|990052437950205171,Or.1080 A1.18
or1080a1.2,990052431800205171|990052437790205171,Or.1080 A1.2
or1080a1.6,990052435790205171|990052437830205171,Or.1080 A1.6
or1080a1.8,990052435720205171|990052437850205171,Or.1080 A1.8
or1080a1.9,990052435520205171|990052437860205171,Or.1080 A1.9
or1080a12.1,990052435670205171|990052438610205171,Or.1080 A12.1
or1080a12.2,990052435610205171|990052438620205171,Or.1080 A12.2
or1080a13.10,990052435680205171|990052438750205171,Or.1080 A13.10
or1080a13.11,990052435630205171|990052438760205171,Or.1080 A13.11
or1080a13.12,990052435590205171|990052438770205171,Or.1080 A13.12
or1080a13.13,990052435580205171|990052438780205171,Or.1080 A13.13
or1080a13.15,990052436210205171|990052438800205171,Or.1080 A13.15
or1080a13.8,990052435710205171|990052438730205171,Or.1080 A13.8
or1080a13.9,990052435700205171|990052438740205171,Or.1080 A13.9
or1080a15,990052435640205171|990052438810205171,Or.1080 A15
or1080a2.4,990052435780205171|990052437990205171,Or.1080 A2.4
or1080a2.5,990052435740205171|990052438000205171,Or.1080 A2.5
or1080a2.6,990052435690205171|990052438010205171,Or.1080 A2.6
or1080a20.6,990052435800205171|990052438920205171,Or.1080 A20.6
or1080a20.7,990052435540205171|990052438930205171,Or.1080 A20.7
or1080a21.1b,990032422340205171|990052438970205171,Or.1080 A21.1b
or1080a3.21,990052435810205171|990052438240205171,Or.1080 A3.21
or1080a4.10,990052435730205171|990052438340205171,Or.1080 A4.10
or1080a4.11,990052435660205171|990052438350205171,Or.1080 A4.11
or1080a4.12,990052435650205171|990052438360205171,Or.1080 A4.12
or1080a4.13,990052435620205171|990052438370205171,Or.1080 A4.13
or1080a4.14,990052435600205171|990052438380205171,Or.1080 A4.14
or1080a4.7,990052431910205171|990052438310205171,Or.1080 A4.7
or1080a4.8,990052431900205171|990052438320205171,Or.1080 A4.8
or1080a4.9,990052435760205171|990052438330205171,Or.1080 A4.9
or1080a6.1,990052435560205171|990052438490205171,Or.1080 A6.1
or1080a7.1,990052435500205171|990052438510205171,Or.1080 A7.1
or1080a8.2,990052435490205171|990052438530205171,Or.1080 A8.2
or1080a9.1,990052435570205171|990052438550205171,Or.1080 A9.1
or1080a9.2,990052435510205171|990052438560205171,Or.1080 A9.2
or1080b14.1,990052431950205171|990052439110205171,Or.1080 B14.1
or1080b16.1,990052431890205171|990052439120205171,Or.1080 B16.1
or1080b16.3,990052435750205171|990052439140205171,Or.1080 B16.3
or1080b16.4,990052435550205171|990052439150205171,Or.1080 B16.4
or1080b18.4,990052431940205171|990052439190205171,Or.1080 B18.4
or1080b2.2,990052436430205171|990052439070205171,Or.1080 B2.2
or1080b6.2,990052431850205171|990052439090205171,Or.1080 B6.2
talmii71,990053930170205171|990001843600205171,Ms. Talm. II 7 1|Ms. Talm. II 71
talmii72,990053930190205171|990001843610205171,Ms. Talm. II 7 2|Ms. Talm. II 72
ts10k19,990051344480205171|990051344490205171|990051344500205171|990051344510205171|990051242430205171,Ms. T-S 10 K 19|T-S 10K19
ts12.560,990051347200205171|990051338150205171,Ms. T-S 12.560|T-S 12.560
ts12.76,990051332710205171|990051333600205171,Ms. T-S 12.76|T-S 12.76
ts13f2.1,990051242760205171|990051252650205171,Ms. T-S 13 F 2.1|T-S 13F2.1
ts16.217,990051347430205171|990051343000205171,Ms. T-S 16.217|T-S 16.217
ts20.88,990051347200205171|990051345450205171,Ms. T-S 20.88|T-S 20.88
ts8.225,990051347430205171|990051332320205171,Ms. T-S 8.225|T-S 8.225
ts8j35.3,990051240920205171|990051231570205171,Ms. T-S 8 J 35.3|T-S 8J35.3
ts8j35.6,990051240930205171|990051231600205171,Ms. T-S 8 J 35.6|T-S 8J35.6
ts8ka1,990051344240205171|990051233370205171,Ms. T-S 8 Ka.1|T-S 8Ka.1
tsa1.52,990051141310205171|990051113940205171,Ms. T-S A 1.52|T-S A1.52
tsar18(2).46,990051260510205171|990051262400205171,Ms. T-S Ar. 18(2).46|T-S Ar.18(2).46
tsj2.30,990051240500205171|990051199860205171,Ms. T-S J 2.30|T-S J2.30
tsj2.31,990051231160205171|990051199870205171,Ms. T-S J 2.31|T-S J2.31
tsj2.46,990051231190205171|990051200020205171,Ms. T-S J 2.46|T-S J2.46
tsj2.48,990051231150205171|990051200040205171,Ms. T-S J 2.48|T-S J2.48
tsj2a,990051240490205171|990051200380205171,Ms. T-S J 2A|T-S J2A
tsk12.98,990051211210205171|997011935674405171,Ms. T-S K 12.98|T-S K12.98
tsk21.3,990051250360205171|990051214410205171,Ms. T-S K 21.3|T-S K21.3
tsk25.236,997012720577105171|990051218700205171,Ms. T-S K 25.236|T-S K25.236
tsk27.16,990051233670205171|990051233680205171|990051233690205171|990051220340205171,Ms. T-S K 27.16|T-S K27.16
tsk7.15,997011219007005171|997011217208905171|997011247028705171|997011219007105171|997011219008105171|997011219007205171|990051207310205171|997011219007305171|997011219008205171|997011219006505171|997011219007505171|997011219008405171|997011217208405171|997011219007605171|997011217208505171|997011219006805171|997011228208405171|997011219007905171,T-S K7.15|Ms. T-S K 7.15
tsk7.15a,997011219007005171|997011217208905171|997011219007105171|997011219008105171|997011219007205171|997011219006505171|997011219008405171|997011219007605171|997011219007905171,Ms. T-S K 7.15a
tsloancollection10,990051125040205171|990052445250205171,Ms. T-S Loan Collection 10|T-S Loan Collection 10
tsloancollection100,990051125840205171|990051113230205171,Ms. T-S Loan Collection 100|T-S Loan Collection 100
tsloancollection101,990051125850205171|990052446770205171,Ms. T-S Loan Collection 101|T-S Loan Collection 101
