cluster,sys_id,library,title
3,990000854620205171,RNL,פרוש התורה לדוד בן בעז.
3,990000854690205171,RNL,תפסיר אלאלפאט' אלעצבה.
3,990000854720205171,RNL,כתאב אלכאפי.
3,990000854730205171,RNL,עיון מא בין אלשיכ'ין : ; חילוקים בין סהל בן מצליח ובין יפת בן עלי.
3,990000854740205171,RNL,פרוש התורה ליפת בן עלי (ויקרא).
3,990000854770205171,RNL,כתאב אלתוחיד : ; על ענין שחיטה.
3,990000854780205171,RNL,אלמקאלה פי אלעריות.
3,990000854790205171,RNL,אלמקאלה פי אלעריות.
3,990000854880205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000854930205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000855070205171,RNL,קובץ בהלכה קראית.
3,990000855160205171,RNL,"משנה תורה (ספר אהבה, הלכות ברכות, קטע)."
3,990000855250205171,RNL,כתאב אלאנואר ואלמראקב (קטע).
3,990000855260205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000855390205171,RNL,מקאלה פי אלדביחה (קטע).
3,990000855400205171,RNL,מקאלה פי אלדביחה (קטע).
3,990000855430205171,RNL,שרוט אלדבאחה (קטע).
3,990000855570205171,RNL,ספר המצוות ליפת אבן צגיר.
3,990000855580205171,RNL,ספר המצוות ליפת אבן צגיר.
3,990000855590205171,RNL,ספר המצוות ליפת אבן צגיר.
3,990000855610205171,RNL,ספר המצוות ליפת אבן צגיר (קטע).
3,990000855620205171,RNL,ספר המצוות ליפת אבן צגיר (קטע).
3,990000855640205171,RNL,ספר המצוות ליפת אבן צגיר.
3,990000855700205171,RNL,כתאב אלאסתבצאר.
3,990000855710205171,RNL,ספר המצוות ליפת בן עלי.
3,990000855740205171,RNL,ספר המצוות ליפת בן עלי.
3,990000855760205171,RNL,ספר המצוות ליפת בן עלי.
3,990000855800205171,RNL,ספר המצוות ללוי בן יפת.
3,990000855840205171,RNL,ספר המצוות ליפת בן עלי.
3,990000855850205171,RNL,ספר המצוות ליפת בן עלי.
3,990000855910205171,RNL,כתאב אלאנואר ואלמראקב (קטע).
3,990000855920205171,RNL,מקאלה פי אלדביחה (קטע).
3,990000855940205171,RNL,מקאלה פי אלדביחה (קטע).
3,990000855950205171,RNL,כתאב אלמרשד (קטע).
3,990000855960205171,RNL,כתאב אלתמייז.
3,990000855990205171,RNL,"פרוש כתובים (תהלים יט-כב, נח-סב)."
3,990000856450205171,RNL,ספר השרשים (קטעים).
3,990000856460205171,RNL,ספר השרשים (בלתי שלם).
3,990000856470205171,RNL,ספר השרשים (קטע).
3,990000856730205171,RNL,מדרש תנחומא (קטע).
3,990000856760205171,RNL,"מעשה בית דין : ; בדבר מכירת ""הקאעה הגדולה"" (בית) ב""חארת אלקראין"" משנת תנ""ח."
3,990000856800205171,RNL,דיואן ר' יהודה הלוי (קטע).
3,990000856860205171,RNL,ספר השרשים (לעב-לקט).
3,990000856890205171,RNL,ספרא (חלקים).
3,990000857040205171,RNL,נורא תהלות (קטע).
3,990000857050205171,RNL,דרשות על התורה (בראשית).
3,990000857340205171,RNL,כונות הפילוסופים (קטע).
3,990000857560205171,RNL,ספר השרשים (קטעים).
3,990000857620205171,RNL,ספר המצוות ליפת אבן צגיר.
3,990000857630205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000857640205171,RNL,ספר תשובה (קטעים).
3,990000857650205171,RNL,כתאב אלאנואר ואלמראקב (קטעים).
3,990000857660205171,RNL,ספר המצוות ליפת אבן צגיר (קטעים).
