system_number,oxford_part_id,call_numbers,library_code,,,,titles_non_placeholder
990001421400205171,,T-S NS 329.859,CUL,,,,
990001421410205171,,T-S NS 329.861,CUL,,,,מקרא [טקסט]
990001421690205171,,T-S NS 329.994,CUL,,,,
990001429100205171,,Yevr. II A 64,RNL,,,,
990001429320205171,,Yevr. II A 90,RNL,,,,
990001429750205171,,Yevr. II A 108,RNL,,,,
990001429800205171,,Yevr. II A 111,RNL,,,,
990001430340205171,,Yevr. II A 135,RNL,,,,
990001430350205171,,Yevr. II A 136,RNL,,,,
990001430360205171,,Yevr. II A 137,RNL,,,,
990001430370205171,,Yevr. II A 138,RNL,,,,
990001430380205171,,Yevr. II A 139,RNL,,,,
990001430390205171,,Yevr. II A 140,RNL,,,,
990001430620205171,,Yevr. II A 146/14,RNL,,,,
990001430680205171,,Yevr. II A 152,RNL,,,,
990001431440205171,,Yevr. II A 160,RNL,,,,
990001435010205171,,Yevr. II A 204,RNL,,,,
990001435120205171,,Yevr. II A 212,RNL,,,,
990001435380205171,,Yevr. II A 226,RNL,,,,
990001435860205171,,Yevr. II A 253,RNL,,,,
990001436240205171,,Yevr. II A 273,RNL,,,,
990001436280205171,,Yevr. II A 284,RNL,,,,
990001436290205171,,Yevr. II A 285,RNL,,,,
990001436300205171,,Yevr. II A 286,RNL,,,,מקרא [טקסט]
990001436310205171,,Yevr. II A 287,RNL,,,,מקרא [טקסט]
990001436320205171,,Yevr. II A 288,RNL,,,,מקרא [טקסט]
990001436330205171,,Yevr. II A 289,RNL,,,,מקרא [טקסט]
990001436340205171,,Yevr. II A 290,RNL,,,,מקרא [טקסט]
990001436790205171,,Yevr. II A 301,RNL,,,,
990001436810205171,,Yevr. II A 303,RNL,,,,
990001437420205171,,Yevr. II A 315,RNL,,,,
990001437560205171,,Yevr. II A 319/12,RNL,,,,
990001441210205171,,Yevr. II A 632,RNL,,,,
990001441360205171,,Yevr. II A 648,RNL,,,,
990001441560205171,,Yevr. II A 668,RNL,,,,
990001443310205171,,Yevr. II A 882,RNL,,,,
990001443330205171,,Yevr. II A 884,RNL,,,,
990001454780205171,,Yevr. II A 1994,RNL,,,,
990001460300205171,,MS heb. d.47/46,Oxford,,,,"כתאב אלשראיע [רס""ג]"
990001463830205171,,Yevr. II A 2846,RNL,,,,
990001504910205171,,III.A.20,AIU,,,,
990001504920205171,,III.A.21,AIU,,,,"הלכות הרי""ף"
990001504950205171,,III.A.23,AIU,,,,משנה [טקסט]
990001505010205171,,III.A.28,AIU,,,,
990001505070205171,,III.A.32,AIU,,,,
990001505130205171,,III.A.37,AIU,,,,תלמוד ירושלמי [טקסט]
990001505150205171,,III.A.39,AIU,,,,תלמוד בבלי [טקסט]
990001505180205171,,III.A.42,AIU,,,,
990001505380205171,,III.A.45,AIU,,,,
990001505400205171,,III.A.47,AIU,,,,
990001505410205171,,III.A.48,AIU,,,,תלמוד בבלי [טקסט]
990001505560205171,,III.A.65,AIU,,,,
990001505670205171,,III.A.73,AIU,,,,משנה [טקסט]
990001505690205171,,III.A.74,AIU,,,,משנה [טקסט]
990001505700205171,,III.A.75,AIU,,,,
990001505770205171,,III.A.81,AIU,,,,"הלכות הרי""ף"
990001505820205171,,III.A.85,AIU,,,,"הלכות הרי""ף"
990001505830205171,,III.A.86,AIU,,,,תלמוד בבלי [טקסט]
990001505900205171,,III.A.89,AIU,,,,
990001506050205171,,III.A.102,AIU,,,,מסכת דרך ארץ זוטא
990001506240205171,,III.B.49,AIU,,,,"הלכות הרי""ף"
990001506270205171,,III.B.53,AIU,,,,
990001506350205171,,III.B.102,AIU,,,,
990001506770205171,,III.B.158,AIU,,,,משנה [טקסט]
990001506780205171,,III.B.159,AIU,,,,מדרש דוד הנגיד
990001506810205171,,III.B.160,AIU,,,,
990001506850205171,,III.B.165,AIU,,,,
990001506900205171,,III.B.172bis,AIU,,,,
990001506920205171,,III.B.173bis,AIU,,,,
990001506960205171,,III.B.174,AIU,,,,
990001507000205171,,III.B.179,AIU,,,,
990001507420205171,,III.B.184,AIU,,,,
990001507540205171,,III.B.239,AIU,,,,
990001510610205171,,XI.139,AIU,,,,
990001517900205171,,Arab.-Yevr. 3,RNL,,,,
990001518030205171,,Arab.-Yevr. 16,RNL,,,,
990001523650205171,,Yevr.-Arab. I 221,RNL,,,,
990001523800205171,,Yevr.-Arab. I 236,RNL,,,,
990001530550205171,,Yevr.-Arab. I 1104,RNL,,,,
990001530630205171,,Yevr.-Arab. I 1114,RNL,,,,
990001530650205171,,Yevr.-Arab. I 1116,RNL,,,,
990001530660205171,,Yevr.-Arab. I 1117,RNL,,,,
990001530670205171,,Yevr.-Arab. I 1118,RNL,,,,
990001530680205171,,Yevr.-Arab. I 1119 | Yevr.-Arab. I 1120,RNL,,,,
990001530940205171,,Yevr.-Arab. I 1122,RNL,,,,
990001530950205171,,Yevr.-Arab. I 1123,RNL,,,,
990001531130205171,,Yevr.-Arab. I 1157,RNL,,,,
990001531790205171,,Yevr.-Arab. I 1264,RNL,,,,
990001533350205171,,Yevr.-Arab. I 1473,RNL,,,,
990001534300205171,,Yevr.-Arab. I 1587,RNL,,,,
990001535190205171,,Yevr.-Arab. I 1678,RNL,,,,
990001539640205171,,Yevr.-Arab. I 2159,RNL,,,,
990001539860205171,,Yevr.-Arab. I 2187,RNL,,,,
990001539900205171,,Yevr.-Arab. I 2192,RNL,,,,
990001539940205171,,Yevr.-Arab. I 2196,RNL,,,,
990001539960205171,,Yevr.-Arab. I 2197,RNL,,,,
990001540060205171,,Yevr.-Arab. I 2207,RNL,,,,
990001540120205171,,Yevr.-Arab. I 2212,RNL,,,,
990001540130205171,,Yevr.-Arab. I 2213,RNL,,,,
990001540220205171,,Yevr.-Arab. I 2228,RNL,,,,
990001540340205171,,Yevr.-Arab. I 2252,RNL,,,,
990001540360205171,,Yevr.-Arab. I 2254,RNL,,,,
990001540370205171,,Yevr.-Arab. I 2255,RNL,,,,
990001540440205171,,Yevr.-Arab. I 2263,RNL,,,,
990001540620205171,,Yevr.-Arab. I 2278,RNL,,,,
990001541530205171,,Yevr.-Arab. I 2358,RNL,,,,
990001541540205171,,Yevr.-Arab. I 2359,RNL,,,,
990001544050205171,,Yevr.-Arab. I 2585,RNL,,,,
