System ID,Shelfmark Text,Issue,Details
990053461610205171,"MS heb. f.7/89 | Ms. heb. f. 7.89 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.89",NO_ID_LINKED,Field is empty
990053477460205171,"MS heb. f.53/12 | Ms. heb. f. 53.12 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.12",NO_ID_LINKED,Field is empty
997008739663905171,"MS Heb. c.72/31 | Ms. heb. c. 72.31 | The Bodleian Libraries, University of Oxford Ms. heb. c. 72.31",NO_ID_LINKED,Field is empty
997008739662005171,"MS Heb. c.72/51-52 | Ms. heb. c. 72.51-52 | The Bodleian Libraries, University of Oxford Ms. heb. c. 72.51-52",NO_ID_LINKED,Field is empty
990053435970205171,"MS heb. e.39/176 | Ms. heb. e. 39.176 | The Bodleian Libraries, University of Oxford Ms. heb. e. 39.176",NO_ID_LINKED,Field is empty
990053461340205171,"MS heb. f.7/62 | Ms. heb. f. 7.62 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.62",NO_ID_LINKED,Field is empty
990053468370205171,"MS heb. f.31/5 | Ms. heb. f. 31.5 | The Bodleian Libraries, University of Oxford Ms. heb. f. 31.5",NO_ID_LINKED,Field is empty
990053462060205171,"MS heb. f.7*/21 | Ms. heb. f. 7*.21 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7*.21",NO_ID_LINKED,Field is empty
990053461980205171,"MS heb. f.7*/13 | Ms. heb. f. 7*.13 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7*.13",NO_ID_LINKED,Field is empty
990053477820205171,"MS heb. f.53/48 | Ms. heb. f. 53.48 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.48",NO_ID_LINKED,Field is empty
990053632160205171,"MS heb. e.47/7 | Ms. heb. e. 47.7 | The Bodleian Libraries, University of Oxford Ms. heb. e. 47.7",NO_ID_LINKED,Field is empty
990053462970205171,"MS heb. f.20/12 | Ms. heb. f. 20.12 | The Bodleian Libraries, University of Oxford Ms. heb. f. 20.12",NO_ID_LINKED,Field is empty
990053462880205171,"MS heb. f.20/3 | Ms. heb. f. 20.3 | The Bodleian Libraries, University of Oxford Ms. heb. f. 20.3",NO_ID_LINKED,Field is empty
990053492940205171,"MS heb. g.14/33 | Ms. heb. g. 14.33 | The Bodleian Libraries, University of Oxford Ms. heb. g. 14.33",NO_ID_LINKED,Field is empty
990053489700205171,"MS heb. f.114(P)/1 | Ms. aram. f. 1P.1 | Ms. heb. f. 114(P).1 | The Bodleian Libraries, University of Oxford Ms. aram. f. 1P.1 | The Bodleian Libraries, University of Oxford Ms. heb. f. 114(P).1",NO_ID_LINKED,Field is empty
990053413640205171,"MS heb. d.55/1 | Ms. heb. d. 55.1 | The Bodleian Libraries, University of Oxford Ms. heb. d. 55.1",NO_ID_LINKED,Field is empty
990053469360205171,"MS heb. f.33/1 | Ms. heb. f. 33.1 | The Bodleian Libraries, University of Oxford Ms. heb. f. 33.1",NO_ID_LINKED,Field is empty
990053460350205171,"MS heb. f.3/10 | Ms. heb. f. 3.10 | The Bodleian Libraries, University of Oxford Ms. heb. f. 3.10",NO_ID_LINKED,Field is empty
990053460530205171,"MS heb. f.4/5 | Ms. heb. f. 4.5 | The Bodleian Libraries, University of Oxford Ms. heb. f. 4.5",NO_ID_LINKED,Field is empty
997008739665705171,"Ms. heb. c. 72.4 | The Bodleian Libraries, University of Oxford Ms. heb. c. 72.4",NO_ID_LINKED,Field is empty
990053460260205171,"MS heb. f.3/1 | Ms. heb. f. 3.1 | The Bodleian Libraries, University of Oxford Ms. heb. f. 3.1",NO_ID_LINKED,Field is empty
997008739659405171,"MS Heb. c.72/14 | Ms. heb. c. 72.14 | The Bodleian Libraries, University of Oxford Ms. heb. c. 72.14",NO_ID_LINKED,Field is empty
990053460170205171,"MS heb. f.2/21 | Ms. heb. f. 2.21 | The Bodleian Libraries, University of Oxford Ms. heb. f. 2.21",NO_ID_LINKED,Field is empty
990053461890205171,"MS heb. f.7*/4 | Ms. heb. f. 7*.4 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7*.4",NO_ID_LINKED,Field is empty
990053460080205171,"MS heb. f.2/12 | Ms. heb. f. 2.12 | The Bodleian Libraries, University of Oxford Ms. heb. f. 2.12",NO_ID_LINKED,Field is empty
990053460810205171,"MS heb. f.7/9 | Ms. heb. f. 7.9 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.9",NO_ID_LINKED,Field is empty
990053477560205171,"MS heb. f.53/22 | Ms. heb. f. 53.22 | The Bodleian Libraries, University of Oxford Ms. heb. f. 53.22",NO_ID_LINKED,Field is empty
990053461530205171,"MS heb. f.7/81 | Ms. heb. f. 7.81 | The Bodleian Libraries, University of Oxford Ms. heb. f. 7.81",NO_ID_LINKED,Field is empty
