siglum	library_he	shelfmark	details
תיב	קימברידג', ספריית האוניברסיטה	T-S AS 106.147	
תיג	קימברידג', ספריית האוניברסיטה	T-S AS 106.191	
תיד	קימברידג', ספריית` האוניברסיטה	T-S AS 106.225	
	קימברידג', ספריית האוניברסיטה	T-S AS 107.106	
תטו	קימברידג', ספריית האוניברסיטה	T-S AS 107.50	
תטז	קימברידג', ספריית האוניברסיטה	T-S AS 107.89	
תיז	קימברידג', ספריית האוניברסיטה	T-S AS 107.124	
תיח	קימברידג', ספריית האוניברסיטה	T-S AS 107.132	
	קימברידג', ספריית האוניברסיטה	T-S AS 107.142	
תיט	קימברידג', ספריית האוניברסיטה	T-S AS 107.171	
	קימברידג', ספריית האוניברסיטה	T-S AS 109.134	
תכ	קימברידג', ספריית האוניברסיטה	T-S AS 107.190	
תכא	קימברידג', ספריית האוניברסיטה	T-S AS 108.42	
תכב	קימברידג', ספריית האוניברסיטה	T-S AS 108.116	
תכג	קימברידג', ספריית האוניברסיטה	T-S AS 108.314	
תכד	קימברידג', ספריית האוניברסיטה	T-S AS 109.104	
	מנצ'סטר	B 5844	
תכה	קימברידג', ספריית האוניברסיטה	T-S AS 109.115	
תכו	קימברידג', ספריית האוניברסיטה	T-S AS 109.157	
תכז	קימברידג', ספריית האוניברסיטה	T-S AS 109.235	
תכח	קימברידג', ספריית האוניברסיטה	T-S AS 109.236	
תכט	קימברידג', ספריית האוניברסיטה	T-S AS 110.8	
תל	קימברידג', ספריית האוניברסיטה	T-S AS 110.9	
תלא	קימברידג', ספריית האוניברסיטה	T-S AS 110.94	
תלב	קימברידג', ספריית האוניברסיטה	T-S AS 110.123	
תלג	קימברידג', ספריית האוניברסיטה	T-S AS 110.196	
תלד	קימברידג', ספריית האוניברסיטה	T-S AS 110.205	
תלה	קימברידג', ספריית האוניברסיטה	T-S AS 110.208	
תלו	קימברידג', ספריית האוניברסיטה	T-S AS 110.226	
תלז	קימברידג', ספריית האוניברסיטה	T-S AS 110.311	
תלח	קימברידג', ספריית האוניברסיטה	T-S AS 110.322	
תלט	קימברידג', ספריית האוניברסיטה	T-S AS 110.350	
תמ1	קימברידג', ספריית האוניברסיטה	T-S AS 110.359	
	לונדון, הספרייה הבריטית	OR. 1080.15.4	
תמ2	קימברידג', ספריית האוניברסיטה	T-S AS 110.359	
	לונדון, הספרייה הבריטית	OR. 1080.15.4	
תמא	קימברידג', ספריית האוניברסיטה	T-S AS 110.374	
תמב1	קימברידג', ספריית האוניברסיטה	T-S AS 121.20	
	קימברידג', ספריית האוניברסיטה	T-S AS 121.170	
תמב2	קימברידג', ספריית האוניברסיטה	T-S AS 121.20	
	קימברידג', ספריית האוניברסיטה	T-S AS 121.170	
תמג	קימברידג', ספריית האוניברסיטה	T-S AS 126.224	
תמד	קימברידג', ספריית האוניברסיטה	T-S AS 128.44	
תמה	קימברידג', ספריית האוניברסיטה	OR. 1080.1.41	
תמו	קימברידג', ספריית האוניברסיטה	OR. 1080.1.57	
תמז	קימברידג', ספריית האוניברסיטה	OR. 1080.10.20	
תמח	קימברידג', ספריית האוניברסיטה	Add. 3159.6	
תמט	קימברידג', ספריית האוניברסיטה	Add. 3162	
תנ	קימברידג', ספריית האוניברסיטה, אוסף לואיס גיבסון	Lit. I.11	
	קימברידג', ספריית האוניברסיטה, אוסף לואיס גיבסון	Lit. III.87	
תנא	קימברידג', ספריית האוניברסיטה, אוסף לואיס גיבסון	Lit. I.121-122	
תנב	קימברידג', ספריית האוניברסיטה, אוסף לואיס גיבסון	Lit. I.149	
תנג	קימברידג', ספריית האוניברסיטה, אוסף לואיס גיבסון	Lit. I.182	
תנד1	קימברידג', ספריית האוניברסיטה, אוסף לואיס גיבסון	Lit. I.184	
תנד2	קימברידג', ספריית האוניברסיטה, אוסף לואיס גיבסון	Lit. I.184	
תנה	קימברידג', ספריית האוניברסיטה, אוסף לואיס גיבסון	Lit. II.54	
תנו	קימברידג', ספריית האוניברסיטה, אוסף לואיס גיבסון	Lit. II.152	
תנז	קימברידג', ספריית האוניברסיטה, אוסף לואיס גיבסון	Lit. III.84	
תנח	קימברידג', ספריית האוניברסיטה, אוסף מוצרי	I.98.3	
תנט	קימברידג', ספריית האוניברסיטה, אוסף מוצרי	I.99	
תס	קימברידג', ספריית האוניברסיטה, אוסף מוצרי	I.130	
תסא	קימברידג', ספריית האוניברסיטה, אוסף מוצרי	VIII 388.1	
תסב1	קימברידג', ספריית האוניברסיטה, אוסף מוצרי	VIII 453	
תסב2	קימברידג', ספריית האוניברסיטה, אוסף מוצרי	VIII 453	
תסג	קימברידג', ספריית האוניברסיטה, אוסף מוצרי	VIII 458	
תסד	קימברידג', ספריית האוניברסיטה, אוסף מוצרי	VIII 459.2	
תסה	קימברידג', ספריית האוניברסיטה, אוסף מוצרי	IX.12.2	
תסו	קימברידג', ספריית האוניברסיטה, אוסף מוצרי	IX.187	
